@RELATION severity

@ATTRIBUTE from_us {no,yes}
@ATTRIBUTE gender {m,t,w}
@ATTRIBUTE age INTEGER
@ATTRIBUTE education {college,graduate,high_school,primary_school,undergraduate}
@ATTRIBUTE occupation {disabled_or_retired,full_time,not_searching,part_time,searching,student}
@ATTRIBUTE topic {drugs_and_alcohol,location,personal_identifiers,religion_and_politics,sex,strong_sentiment}
@ATTRIBUTE severity REAL

@DATA
no,w,51,undergraduate,full_time,drugs_and_alcohol,5
no,t,35,college,disabled_or_retired,drugs_and_alcohol,4.5
no,m,38,college,full_time,drugs_and_alcohol,2.5
no,m,45,undergraduate,full_time,drugs_and_alcohol,4.5
no,w,39,graduate,full_time,drugs_and_alcohol,5
no,m,34,graduate,full_time,drugs_and_alcohol,3.5
no,m,33,high_school,full_time,drugs_and_alcohol,3.5
no,m,39,graduate,full_time,drugs_and_alcohol,5
no,m,23,graduate,student,drugs_and_alcohol,4
no,m,31,undergraduate,full_time,drugs_and_alcohol,5
no,m,28,graduate,full_time,drugs_and_alcohol,2.5
no,m,27,college,student,drugs_and_alcohol,4.5
no,m,27,graduate,full_time,drugs_and_alcohol,3.5
no,m,36,graduate,full_time,drugs_and_alcohol,3.5
no,m,40,graduate,full_time,drugs_and_alcohol,2
no,w,27,graduate,full_time,drugs_and_alcohol,3
no,m,31,graduate,full_time,drugs_and_alcohol,3
no,w,28,graduate,full_time,drugs_and_alcohol,3
no,m,32,undergraduate,full_time,drugs_and_alcohol,2.5
no,m,40,undergraduate,full_time,drugs_and_alcohol,2.5
no,m,29,graduate,full_time,drugs_and_alcohol,2
no,w,28,graduate,full_time,drugs_and_alcohol,4
no,w,22,high_school,student,drugs_and_alcohol,4.5
no,w,33,graduate,full_time,drugs_and_alcohol,3
no,w,33,graduate,full_time,drugs_and_alcohol,4.5
no,w,26,undergraduate,student,drugs_and_alcohol,3.5
no,m,33,graduate,full_time,drugs_and_alcohol,5
no,m,26,graduate,full_time,drugs_and_alcohol,4.5
no,m,33,graduate,part_time,drugs_and_alcohol,4
no,w,27,high_school,full_time,drugs_and_alcohol,4.5
no,m,28,graduate,full_time,drugs_and_alcohol,4
no,w,25,high_school,student,drugs_and_alcohol,3.5
no,m,29,graduate,full_time,drugs_and_alcohol,4.5
no,m,26,undergraduate,student,drugs_and_alcohol,3.5
no,m,46,graduate,student,drugs_and_alcohol,3
no,m,26,graduate,part_time,drugs_and_alcohol,2.5
no,m,37,graduate,full_time,drugs_and_alcohol,4
no,m,58,undergraduate,full_time,drugs_and_alcohol,4
no,w,23,undergraduate,student,drugs_and_alcohol,3
no,w,32,graduate,searching,drugs_and_alcohol,4
no,m,23,undergraduate,student,drugs_and_alcohol,3.5
no,w,23,high_school,student,drugs_and_alcohol,4.5
no,w,34,college,not_searching,drugs_and_alcohol,4.5
no,w,45,graduate,full_time,drugs_and_alcohol,4
no,w,25,undergraduate,full_time,drugs_and_alcohol,2.5
yes,w,33,undergraduate,full_time,drugs_and_alcohol,4.5
yes,w,46,college,part_time,drugs_and_alcohol,5
yes,w,33,undergraduate,full_time,drugs_and_alcohol,4.5
yes,m,30,undergraduate,full_time,drugs_and_alcohol,3
yes,w,33,undergraduate,full_time,drugs_and_alcohol,4
yes,m,26,undergraduate,full_time,drugs_and_alcohol,3.5
yes,w,30,college,part_time,drugs_and_alcohol,4.5
yes,m,28,high_school,full_time,drugs_and_alcohol,3.5
yes,m,59,college,disabled_or_retired,drugs_and_alcohol,3
yes,w,44,college,part_time,drugs_and_alcohol,3.5
yes,m,36,college,part_time,drugs_and_alcohol,3.5
yes,w,36,college,full_time,drugs_and_alcohol,3.5
yes,w,31,undergraduate,full_time,drugs_and_alcohol,4
yes,m,29,college,full_time,drugs_and_alcohol,4.5
yes,w,47,undergraduate,full_time,drugs_and_alcohol,3
yes,w,39,undergraduate,full_time,drugs_and_alcohol,4.5
yes,m,30,undergraduate,full_time,drugs_and_alcohol,4
yes,w,45,college,not_searching,drugs_and_alcohol,3.5
yes,m,47,college,part_time,drugs_and_alcohol,4
yes,m,29,undergraduate,full_time,drugs_and_alcohol,4
yes,m,35,undergraduate,full_time,drugs_and_alcohol,3.5
yes,w,34,undergraduate,not_searching,drugs_and_alcohol,3
yes,m,35,high_school,full_time,drugs_and_alcohol,2.5
yes,w,24,college,full_time,drugs_and_alcohol,4
yes,w,26,graduate,full_time,drugs_and_alcohol,4
yes,m,31,undergraduate,full_time,drugs_and_alcohol,2.5
yes,m,42,college,full_time,drugs_and_alcohol,3
yes,m,35,college,not_searching,drugs_and_alcohol,4
yes,m,48,college,full_time,drugs_and_alcohol,3.5
yes,w,34,college,part_time,drugs_and_alcohol,4
yes,m,51,graduate,part_time,drugs_and_alcohol,4
yes,w,34,undergraduate,full_time,drugs_and_alcohol,3
yes,w,30,college,part_time,drugs_and_alcohol,3.5
yes,w,27,graduate,full_time,drugs_and_alcohol,3.5
yes,w,72,undergraduate,full_time,drugs_and_alcohol,3.5
yes,w,31,graduate,full_time,drugs_and_alcohol,4.5
yes,w,46,college,full_time,drugs_and_alcohol,3.5
yes,m,37,high_school,part_time,drugs_and_alcohol,4
yes,m,33,college,full_time,drugs_and_alcohol,3.5
yes,m,42,undergraduate,full_time,drugs_and_alcohol,4
yes,w,30,undergraduate,full_time,drugs_and_alcohol,3.5
yes,m,46,college,part_time,drugs_and_alcohol,3
yes,m,27,college,part_time,drugs_and_alcohol,4.5
yes,m,30,graduate,full_time,drugs_and_alcohol,3.5
yes,w,43,college,part_time,drugs_and_alcohol,4
yes,w,43,undergraduate,searching,drugs_and_alcohol,4.5
yes,m,30,college,full_time,drugs_and_alcohol,4
yes,m,37,graduate,full_time,drugs_and_alcohol,3.5
yes,w,43,college,full_time,drugs_and_alcohol,3.5
yes,w,44,college,part_time,drugs_and_alcohol,3.5
yes,m,28,college,full_time,drugs_and_alcohol,3
yes,w,37,undergraduate,full_time,drugs_and_alcohol,3.5
yes,m,66,high_school,full_time,drugs_and_alcohol,2.5
yes,m,30,graduate,full_time,drugs_and_alcohol,3.5
yes,w,38,undergraduate,full_time,drugs_and_alcohol,4.5
yes,m,41,college,full_time,drugs_and_alcohol,4
yes,m,28,college,full_time,drugs_and_alcohol,4
yes,m,30,undergraduate,student,drugs_and_alcohol,3.5
yes,m,26,undergraduate,full_time,drugs_and_alcohol,3.5
yes,w,56,undergraduate,full_time,drugs_and_alcohol,4
yes,w,58,undergraduate,full_time,drugs_and_alcohol,3.5
yes,m,37,undergraduate,full_time,drugs_and_alcohol,3.5
yes,w,48,undergraduate,full_time,drugs_and_alcohol,3.5
yes,m,45,graduate,full_time,drugs_and_alcohol,4
yes,w,29,undergraduate,full_time,drugs_and_alcohol,3
yes,w,32,undergraduate,full_time,drugs_and_alcohol,4.5
yes,m,33,undergraduate,full_time,drugs_and_alcohol,3.5
yes,t,29,undergraduate,student,drugs_and_alcohol,2.5
yes,m,41,college,part_time,drugs_and_alcohol,2.5
yes,w,41,graduate,full_time,drugs_and_alcohol,3.5
yes,m,35,high_school,full_time,drugs_and_alcohol,2
yes,w,29,undergraduate,full_time,drugs_and_alcohol,3.5
